VCD info: dumpfile alu_tb.vcd opened for output.
Time	ALUControl	A		B		ALUResult	Zero
0	00000		00000001	00000002	00000004	0
10000	00000		00000003	00000004	00000030	0
20000	00000		12345678	00000000	12345678	0
30000	10000		00000010	00000002	00000004	0
40000	10000		80000000	00000004	08000000	0
50000	10000		87654321	00000000	87654321	0
60000	01001		00000003	00000005	00000001	0
70000	01001		00000007	00000002	00000000	1
80000	01001		00000009	00000009	00000000	1
90000	01001		fffffffe	00000001	00000001	0
100000	00010		00000005	00000007	0000000c	0
110000	00010		00000000	00000000	00000000	1
120000	00010		fffffffc	00000002	fffffffe	0
130000	01010		00000009	00000004	00000005	0
140000	01010		00000004	00000009	fffffffb	0
150000	01010		0000000a	0000000a	00000000	1
160000	00011		f0f0f0f0	0ff00ff0	00f000f0	0
170000	00011		12345678	00000000	00000000	1
180000	00011		ffffffff	aaaaaaaa	aaaaaaaa	0
190000	00111		f0f0f0f0	0ff00ff0	fff0fff0	0
200000	00111		12345678	00000000	12345678	0
210000	00111		55555555	aaaaaaaa	ffffffff	0
